Year,ISIN
2014,AN8068571086
2014,CA00208D4084
2014,CA0084741085
2014,CA00900Q1037
2014,CA05534B7604
2014,CA0636711016
2014,CA0641491075
2014,CA0977518616
2014,CA1247651088
2014,CA12532H1047
2014,CA13321L1085
2014,CA1360691010
2014,CA1363751027
2014,CA1363851017
2014,CA13646K1084
2014,CA1366812024
2014,CA2849025093
2014,CA29250N1050
2014,CA2927661025
2014,CA3180714048
2014,CA3359341052
2014,CA3495531079
2014,CA3759161035
2014,CA4495861060
2014,CA4530384086
2014,CA45823T1066
2014,CA4969024047
2014,CA5394811015
2014,CA5592224011
2014,CA56501R1064
2014,CA59151K1084
2014,CA6744822033
2014,CA7392391016
2014,CA7751092007
2014,CA7800871021
2014,CA8029121057
2014,CA85472N1096
2014,CA8667961053
2014,CA8672241079
2014,CA87807B1076
2014,CA8787422044
2014,CA87971M1032
2014,CA8849038085
2014,CA8911605092
2014,CA89346D1078
2014,CA8959451037
2014,CA98462Y1007
2014,GB0022569080
2014,LR0008862868
2014,PA1436583006
2014,US0010551028
2014,US00130H1059
2014,US00206R1023
2014,US0028241000
2014,US0028962076
2014,US00724F1012
2014,US0079031078
2014,US0082521081
2014,US00846U1016
2014,US0091581068
2014,US00971T1016
2014,US0126531013
2014,US0185811082
2014,US0200021014
2014,US02079K3059
2014,US02209S1033
2014,US0236081024
2014,US0255371017
2014,US0258161092
2014,US0268747849
2014,US03027X1000
2014,US0311621009
2014,US0326541051
2014,US0367521038
2014,US03743Q1085
2014,US0378331005
2014,US0382221051
2014,US0383361039
2014,US0441861046
2014,US0527691069
2014,US0530151036
2014,US0534841012
2014,US0536111091
2014,US0538071038
2014,US0584981064
2014,US0605051046
2014,US0640581007
2014,US0708301041
2014,US0718131099
2014,US0758871091
2014,US0865161014
2014,US09062X1037
2014,US0970231058
2014,US1011371077
2014,US1101221083
2014,US1156372096
2014,US12504L1098
2014,US1255231003
2014,US1258961002
2014,US1264081035
2014,US12653C1080
2014,US1266501006
2014,US1270551013
2014,US1344291091
2014,US14040H1059
2014,US14149Y1082
2014,US1491231015
2014,US1667641005
2014,US1720621010
2014,US17275R1023
2014,US1729674242
2014,US1858991011
2014,US1890541097
2014,US1912161007
2014,US1924461023
2014,US1941621039
2014,US2003401070
2014,US2058871029
2014,US20825C1045
2014,US2091151041
2014,US21036P1084
2014,US22160K1051
2014,US2283681060
2014,US2310211063
2014,US2333311072
2014,US23355L1061
2014,US2371941053
2014,US2441991054
2014,US2473617023
2014,US25179M1036
2014,US2546871060
2014,US25746U1097
2014,US2600031080
2014,US26875P1012
2014,US2774321002
2014,US2786421030
2014,US2788651006
2014,US2810201077
2014,US28176E1082
2014,US2910111044
2014,US29364G1031
2014,US29444U7000
2014,US29670G1022
2014,US30040W1080
2014,US30161N1019
2014,US3021301094
2014,US30231G1022
2014,US3024913036
2014,US31428X1063
2014,US3156161024
2014,US3167731005
2014,US3434121022
2014,US34354P1057
2014,US3453708600
2014,US3546131018
2014,US35671D8570
2014,US3647601083
2014,US3703341046
2014,US37045V1008
2014,US3719011096
2014,US37247D1063
2014,US3755581036
2014,US38141G1040
2014,US3825501014
2014,US3848021040
2014,US3976241071
2014,US40434L1052
2014,US4062161017
2014,US4128221086
2014,US4165151048
2014,US4180561072
2014,US42250P1030
2014,US4278661081
2014,US42809H1077
2014,US4370761029
2014,US4385161066
2014,US4404521001
2014,US44107P1049
2014,US4448591028
2014,US4456581077
2014,US4461501045
2014,US4470111075
2014,US45073V1089
2014,US4523081093
2014,US4581401001
2014,US4592001014
2014,US4595061015
2014,US4601461035
2014,US4606901001
2014,US4612021034
2014,US46284V1017
2014,US4657411066
2014,US46625H1005
2014,US4663131039
2014,US46982L1089
2014,US4781601046
2014,US48020Q1076
2014,US48203R1041
2014,US48242W1062
2014,US4824801009
2014,US4878361082
2014,US4891701009
2014,US4932671088
2014,US4943681035
2014,US49446R1095
2014,US5002551043
2014,US5010441013
2014,US5178341070
2014,US5184391044
2014,US5324571083
2014,US5339001068
2014,US5341871094
2014,US5398301094
2014,US5486611073
2014,US5502411037
2014,US5526761086
2014,US5529531015
2014,US5635714059
2014,US56418H1005
2014,US5658491064
2014,US5717481023
2014,US5719032022
2014,US5738741041
2014,US5745991068
2014,US57636Q1040
2014,US5770811025
2014,US5797802064
2014,US5801351017
2014,US58155Q1031
2014,US58933Y1055
2014,US59156R1086
2014,US5926881054
2014,US5949181045
2014,US5950171042
2014,US5951121038
2014,US6005441000
2014,US6081901042
2014,US60871R2094
2014,US6092071058
2014,US6174464486
2014,US61945C1036
2014,US6200763075
2014,US6293775085
2014,US6311031081
2014,US6365181022
2014,US64110D1046
2014,US6512291062
2014,US6516391066
2014,US65339F1012
2014,US6541061031
2014,US65473P1057
2014,US6556641008
2014,US6558441084
2014,US6658591044
2014,US6668071029
2014,US6687711084
2014,US67066G1040
2014,US6708371033
2014,US67098H1041
2014,US6745991058
2014,US6819191064
2014,US68389X1054
2014,US6866881021
2014,US6882392011
2014,US69331C1080
2014,US6934751057
2014,US6935061076
2014,US69351T1060
2014,US6936561009
2014,US6937181088
2014,US7010941042
2014,US7134481081
2014,US7140461093
2014,US7170811035
2014,US7234841010
2014,US7244791007
2014,US7310681025
2014,US74144T1088
2014,US74251V1026
2014,US7427181091
2014,US7433151039
2014,US74340W1036
2014,US7443201022
2014,US7445731067
2014,US7475251036
2014,US74834L1008
2014,US75513E1010
2014,US7588491032
2014,US7739031091
2014,US7835491082
2014,US78409V1044
2014,US78440X8873
2014,US78473E1038
2014,US79466L3024
2014,US8101861065
2014,US81211K1007
2014,US8168511090
2014,US8243481061
2014,US8288061091
2014,US8326964058
2014,US8354951027
2014,US8425871071
2014,US84265V1052
2014,US8447411088
2014,US8545021011
2014,US8552441094
2014,US8574771031
2014,US8676524064
2014,US8718291078
2014,US8725401090
2014,US87612E1064
2014,US8807701029
2014,US8825081040
2014,US8832031012
2014,US88337F1057
2014,US8835561023
2014,US88579Y1010
2014,US89417E1091
2014,US89832Q1094
2014,US9024941034
2014,US9029733048
2014,US9078181081
2014,US9111631035
2014,US9113121068
2014,US9113631090
2014,US9129091081
2014,US91529Y1064
2014,US92276F1003
2014,US92343V1044
2014,US9255501051
2014,US9291601097
2014,US92939U1060
2014,US9311421039
2014,US9314271084
2014,US94106L1098
2014,US9418481035
2014,US9497461015
2014,US95040Q1040
2014,US95082P1057
2014,US9581021055
2014,US9621661043
2014,US9633201069
2014,US9694571004
2014,US98389B1008
2014,US9839191015
2014,US98421M1062
2014,US9884981013
2014,US98956P1021
2015,AN8068571086
2015,CA00208D4084
2015,CA0084741085
2015,CA00900Q1037
2015,CA05534B7604
2015,CA0636711016
2015,CA0641491075
